plant_id,plant_sp,host,length,width,height,vol_cub,vol_ell,ln.vol_cub,x,y,t0_length_b1,t0_length_b2,t0_length_b3,t1_length_b1,t1_length_b2,t1_length_b3,b1_growth,b2_growth,b3_growth,avg_growth,no_flwrs_b1,no_flwrs_b2,no_flwrs_b3,avg_no_flwrs,int_herb,cn_ratio,mas,slopes,no_chew_4,a_chew_herb,a_suck_herb,biomass,no_any,no_any_4,no_any_5,no_any_6,no_any_7,no_any_8,no_any_9,no_any_10,no_tim,no_grn_tim,no_str_tim,no_tim_gs,no_red_tim,mal,no_tim_4,no_tim_5,no_tim_6,no_tim_7,no_tim_8,no_tim_9,no_tim_10,no_art,no_art_4,no_art_5,no_art_6,no_art_7,no_art_8,no_art_9,no_art_10,no_herb,no_herb_4,no_herb_5,no_herb_6,no_herb_7,no_herb_8,no_herb_9,no_herb_10,no_art_herb,no_art_herb_4,no_art_herb_5,no_art_herb_6,no_art_herb_7,no_art_herb_8,no_art_herb_9,no_art_herb_10,no_carn,no_carn_4,no_carn_5,no_carn_6,no_carn_7,no_carn_8,no_carn_9,no_carn_10,no_lep,no_lep_4,no_lep_5,no_lep_6,no_lep_7,no_lep_8,no_lep_9,no_lep_10,rich_art,rich_art_4,rich_art_5,rich_art_6,rich_art_7,rich_art_8,rich_art_9,rich_art_10,con_2N,con_2N_A,con_2N_C,con_vol,con_vol_A,con_vol_C,con_tim,con_tim_A,con_tim_C,con_gp_A,con_gp_C,q2N_A,q2N_C,con_grn_A,con_grn_C,con_str_A,con_str_C,con_any,con_any4,con_any5,con_any6,con_any7,con_any8,con_any9,con_any10,con_tim4,con_tim5,con_tim6,con_tim7,con_tim8,con_tim9,con_tim10,con_art,con_art4,con_art5,con_art6,con_art7,con_art8,con_art9,con_art10,con_herb,con_herb4,con_herb5,con_herb6,con_herb7,con_herb8,con_herb9,con_herb10,con_art_herb,con_art_herb4,con_art_herb5,con_art_herb6,con_art_herb7,con_art_herb8,con_art_herb9,con_art_herb10,con_carn,con_carn4,con_carn5,con_carn6,con_carn7,con_carn8,con_carn9,con_carn10,con_lep,con_lep4,con_lep5,con_lep6,con_lep7,con_lep8,con_lep9,con_lep10
1,Ceanothus,C,30,20,36,21600,90477.86842,9.980448594,54.97152451,0.204154878,40,40,40,45,110,76,5,70,36,37,0,0,0,0,13,19.81257425,0,NA,1,NA,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197191614,1.206208594,0.197191614,2.550568911,10.08078488,2.550568911,1.215230131,0.804996293,1.215230131,0.402405693,0.485323257,0.49988515,0.399367366,0.399833159,0.463932804,0.381564722,0.678652192,6.437217024,3.732271949,2.986157701,2.575409305,2.268163876,2.068804276,1.853831037,1.698072359,1.19712004,1.19712004,1.174191658,1.174191658,1.174191656,1.129385617,1.125653616,5.239665018,2.53515191,1.789037662,1.401217648,1.093972218,0.89461262,0.72444542,0.572418743,4.409521703,3.250399563,2.741990967,2.418599825,2.256532243,2.064221199,1.849320811,1.694981649,3.211969697,2.053279523,1.544870928,1.244408168,1.082340586,0.890029543,0.719935194,0.569328033,0.30994763,0.230574472,0.082463652,0.049073701,0.007412524,0.001784273,0.001777403,0.001777403,1.145224792,1.145224774,1.144771231,1.078132216,0.964957324,0.852309217,0.700179167,0.550343708
2,Ceanothus,C,80,72,60,345600,1447645.895,12.75303732,54.2084017,5.834006066,40,40,40,77,78,75,37,38,35,36.66666667,5,0,0,1.666666667,15,21.09910648,0,-0.049685296,9,NA,NA,0.809163974,27,13,12,10,6,6,5,5,5,3,2,5,0,0.6,5,5,4,4,4,4,4,22,8,7,6,2,2,1,1,15,10,9,8,6,6,5,5,10,5,4,4,2,2,1,1,3,2,2,1,0,0,0,0,4,4,4,4,2,2,1,1,14,6,5,5,2,2,1,1,0.277293183,1.225127184,0.277293183,3.470305703,10.32354164,3.470305703,1.651764342,1.262931039,1.651764342,0.713271576,0.815885796,0.564774761,0.493948062,0.709827421,0.799786449,0.528300906,0.815288363,8.19883443,5.403869316,4.409632303,3.645048526,3.210710775,3.035085562,2.711699339,2.350976804,1.629974875,1.629974875,1.629974875,1.629974875,1.629974867,1.597564737,1.559608532,6.565650408,3.773894441,2.779657427,2.015073651,1.5807359,1.405110695,1.114134602,0.791368271,5.778214979,4.501340154,3.931052111,3.374583251,3.151539081,3.000387108,2.677429681,2.321115151,4.145030957,2.871365279,2.301077235,1.744608375,1.521564206,1.37041224,1.079864944,0.761506618,0.453401595,0.362338475,0.140836406,0.074835829,0.045877337,0.025825917,0.025805653,0.025805653,1.740904572,1.740904368,1.737559898,1.568935969,1.401720769,1.31161978,1.040543157,0.731627148
3,Ceanothus,C,112,128,84,1204224,5044241.696,14.00134593,53.34502455,3.52537218,40,40,40,97,65,63,57,25,23,35,0,0,1,0.333333333,14,21.05883099,0,-0.045529624,14,NA,NA,0.66589594,38,21,17,14,12,12,10,8,7,3,4,7,0,0.428571429,7,7,7,7,7,7,7,31,14,10,7,5,5,3,1,27,19,16,13,12,12,10,8,20,12,9,6,5,5,3,1,1,1,0,0,0,0,0,0,7,7,7,6,5,5,3,1,12,7,5,3,2,2,2,0,0.373637866,1.592025029,0.373637866,4.462516077,13.84188118,4.462516077,1.888234853,0.83684993,1.888234853,0.329033536,0.976977341,0.393181052,0.517402451,0.323708175,0.941487845,0.313056679,0.852553622,9.019059955,5.801903943,4.882238542,4.206243433,3.478637311,3.176927742,2.904676019,2.788167718,1.842045035,1.842045035,1.727536826,1.727536826,1.727536819,1.641229996,1.620812577,7.175964833,3.959858908,3.040193507,2.478706608,1.751100485,1.449390923,1.263446023,1.167355142,5.909236431,4.667605639,4.142585059,3.79550305,3.435392825,3.162144259,2.890242266,2.776004089,4.066141309,2.825560604,2.300540024,2.067966224,1.707855999,1.43460744,1.249012269,1.155191512,0.758694805,0.527283529,0.363643517,0.202162938,0.036530813,0.010344399,0.010319437,0.010319437,1.75958261,1.759582502,1.75845682,1.734820327,1.482067989,1.331358049,1.192003267,1.103068595
4,Ceanothus,C,108,108,84,979776,4104076.112,13.79507925,50.99604086,0,40,40,40,58,48,82,18,8,42,22.66666667,1,1,3,1.666666667,7,20.37146366,0,-0.096928698,10,NA,NA,0.307259881,34,17,12,11,11,9,9,9,6,1,4,5,1,0.2,6,6,6,6,6,6,6,28,11,6,5,5,3,3,3,23,16,12,11,11,9,9,9,17,10,6,5,5,3,3,3,1,1,0,0,0,0,0,0,4,4,4,4,4,3,3,3,14,8,5,4,4,3,3,3,0.41297702,1.46185225,0.41297702,5.075294892,12.43911389,5.075294892,2.03975284,0.586005042,2.03975284,0.23466319,0.92340818,0.400445684,0.452705917,0.230837379,0.875590862,0.217089685,1.076645116,10.2904416,6.906434946,5.717547442,5.05023007,4.459576647,3.973922096,3.500609467,3.285604854,1.952465999,1.952465999,1.938409704,1.938409704,1.938409697,1.674924774,1.667533164,8.337846528,4.953968948,3.765081444,3.111820366,2.521166943,2.035512399,1.825684693,1.61807169,7.171190501,5.724151641,5.165126604,4.796589407,4.435434208,3.969682446,3.496680112,3.282631845,5.218595429,3.771685642,3.212660605,2.858179703,2.497024504,2.031272748,1.821755338,1.615098681,0.634804355,0.344723976,0.165280871,0.125648031,0.021547043,0.002601349,0.002560973,0.002560973,2.345472077,2.345472028,2.345233867,2.292366109,2.208369396,1.849864535,1.729045545,1.523770621
5,Ceanothus,C,112,60,96,645120,2702272.337,13.37719162,49.67014765,0.90154363,40,40,40,72,60,96,32,20,56,36,2,0,0,0.666666667,9,20.74804023,0,-0.015960469,6,NA,NA,0.121591005,22,10,8,7,6,4,3,3,2,0,2,2,0,0,2,2,2,2,2,1,1,20,8,6,5,4,2,2,2,13,8,7,7,6,4,3,3,11,6,5,5,4,2,2,2,1,0,0,0,0,0,0,0,4,4,4,4,4,2,2,2,13,4,3,3,3,1,1,1,0.503865949,1.802386694,0.503865949,6.371763201,15.12319854,6.371763201,3.944256915,0.848212696,3.944256915,0.437674118,1.792531138,0.515995717,0.45446612,0.433595978,1.659455407,0.27988015,1.929427255,16.41258842,11.99226572,9.650990997,8.687290586,8.016312989,7.397050523,6.914867826,6.591229526,3.765329019,3.765329019,3.75156937,3.75156937,3.751569355,3.572375684,3.558824626,12.64714512,8.226936701,5.885661978,4.935721216,4.264743619,3.645481167,3.342492142,3.0324049,12.16661086,10.30321635,9.00228989,8.262077811,7.970396494,7.389847977,6.908342711,6.586443274,8.401167557,6.537887333,5.236960871,4.510508441,4.218827124,3.638278622,3.335967026,3.027618648,1.001521339,0.785418769,0.302094689,0.239581099,0.041328644,0.00435466,0.004265288,0.004265288,3.588148487,3.588148385,3.587820839,3.537742718,3.453146138,3.266305444,3.146237333,2.840243014
6,Ceanothus,C,108,60,96,622080,2605762.611,13.34082398,49.16925422,2.39308348,40,40,40,92,48,14,52,8,-26,11.33333333,1,1,0,0.666666667,4,21.5493011,0,-0.003414859,23,NA,NA,0.509669481,38,36,30,28,26,25,23,22,12,6,5,11,1,0.545454545,11,11,11,11,11,10,10,27,25,19,17,15,14,13,12,32,31,29,27,26,25,23,22,21,20,18,16,15,14,13,12,3,2,1,1,0,0,0,0,12,12,12,12,12,12,12,11,18,16,11,9,8,7,7,6,0.490832934,1.553343577,0.490832934,6.168272232,12.86237007,6.168272232,2.068854142,0.980905171,2.068854142,0.624855865,0.779126605,0.637019646,0.376598132,0.621349885,0.761241802,0.291210303,1.21986236,12.70165783,7.673208048,6.230934833,5.189101701,4.467015895,3.74515399,3.399310683,3.174968183,2.068698411,2.068698411,2.050118091,2.050118091,2.050118063,1.870676152,1.841376853,10.63280369,5.604509637,4.162236421,3.138983611,2.416897804,1.695035928,1.528634532,1.33359133,8.081941353,6.009507295,5.109848852,4.722163411,4.369554032,3.731832525,3.387315111,3.166028848,6.013087211,3.940808883,3.041150441,2.67204532,2.319435941,1.681714462,1.51663896,1.324651995,0.809185858,0.564546403,0.242323085,0.119028898,0.08941632,0.008334368,0.00818187,0.00818187,2.297329806,2.297329587,2.296885072,2.233906338,2.12052017,1.654039291,1.495197786,1.30823272
7,Ceanothus,C,136,136,120,2219520,9297103.635,14.61280151,63.05259012,8.301443579,40,40,40,56,60,72,16,20,32,22.66666667,3,4,3,3.333333333,12,19.4109309,0,-0.010304407,17,NA,NA,0.274023811,52,35,31,21,20,16,15,14,10,7,2,9,1,0.777777778,10,10,10,10,10,10,10,42,25,21,11,10,6,5,4,35,31,27,18,17,14,13,13,25,21,17,8,7,4,3,3,7,1,1,0,0,0,0,0,7,7,7,6,5,4,3,3,27,14,10,5,4,1,1,0,0.072046743,0.94119826,0.072046743,0.857451753,7.557921487,0.857451753,0.422963756,0.72382026,0.422963756,0.536102768,0.22803634,0.740657311,0.539139197,0.534847832,0.227867264,0.172203554,0.19461485,1.085753781,0.766269418,0.563882812,0.513260653,0.478556462,0.467371165,0.457826969,0.442236716,0.375942621,0.375942621,0.371959457,0.371959457,0.371959457,0.371563133,0.362125745,0.662997844,0.390326797,0.187940191,0.141301196,0.106597004,0.095411708,0.086263836,0.080110971,0.838788797,0.592291178,0.512560689,0.498170859,0.474533204,0.463576249,0.454048317,0.438466118,0.41603286,0.216348557,0.136618068,0.126211401,0.102573747,0.091616792,0.082485183,0.076340373,0.128614984,0.119982348,0.022626294,0.008489484,0.003978369,0.003767217,0.003766954,0.003766954,0.174331952,0.174331826,0.127420734,0.123385592,0.100693619,0.090423631,0.081524753,0.075690274
8,Ceanothus,C,84,84,60,423360,1773366.221,12.95597816,61.39666487,12.21965111,40,40,40,44,117,127,4,77,87,56,1,1,2,1.333333333,8,18.14537442,0,0.049072367,8,NA,NA,0.024489585,14,10,7,7,7,7,7,7,7,4,3,7,0,0.571428571,6,6,6,6,6,6,6,7,4,1,1,1,1,1,1,12,8,7,7,7,7,7,7,5,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,2,2,1,1,1,1,1,1,7,4,1,1,1,1,1,1,0.137361623,1.62531819,0.137361623,1.64038679,13.56632991,1.64038679,0.801146325,0.807444702,0.801146325,0.516680595,0.490974612,0.63989595,0.612840123,0.513948882,0.454430381,0.226634076,0.29953472,3.622732588,2.598440308,2.199991062,1.583503001,1.463034002,1.225488131,1.168745105,1.077295467,0.800991761,0.800991761,0.797784042,0.797784042,0.797784041,0.797515036,0.761525226,2.821740344,1.797448547,1.398999301,0.78571896,0.665249961,0.42770409,0.371230069,0.31577024,2.434536835,2.139702254,1.855932544,1.414924869,1.304323238,1.113936885,1.057261764,1.012655495,1.63354459,1.338710493,1.054940783,0.617140828,0.506539196,0.316152844,0.259746728,0.251130269,0.421416607,0.11629943,0.110035192,0.022277584,0.018048025,0.017805023,0.0178045,0.0178045,0.572960322,0.572959565,0.57218775,0.517625398,0.409377715,0.313173108,0.257013859,0.249265895
9,Ceanothus,C,36,36,84,108864,456008.4569,11.59785468,56.53427218,12.17659572,40,40,40,72,61,45,32,21,5,19.33333333,0,0,0,0,NA,22.91458629,0,0.013267332,3,NA,NA,0.027796278,11,9,6,3,2,2,2,1,2,0,2,2,0,0,2,2,2,2,2,2,1,9,7,4,1,0,0,0,0,7,5,3,3,2,2,2,1,5,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,9,7,4,1,0,0,0,0,0.254591299,1.721681907,0.254591299,2.6989704,14.354215,2.6989704,1.309267088,0.570477262,1.309267088,0.324869007,0.740293562,0.569468809,0.565425931,0.322604724,0.732777283,0.168672327,0.566185989,5.319761905,4.042399203,3.128642489,2.719254632,2.471729612,2.064090578,1.994105873,1.898975794,1.2738748,1.2738748,1.260474941,1.260474941,1.260474932,1.259065155,1.245134799,4.011355631,2.768524404,1.85476769,1.458779691,1.211254671,0.803615646,0.735040718,0.653840996,3.371356259,2.967308123,2.728167683,2.503657555,2.304963505,1.908518232,1.839170282,1.753096349,2.062949985,1.693433323,1.454292884,1.243182614,1.044488564,0.6480433,0.580105127,0.50796155,0.539662441,0.321626551,0.215657559,0.162380979,0.138808811,0.136910456,0.136904671,0.136904671,1.297115751,1.297114668,1.261099096,1.185100475,0.99919403,0.62390567,0.557050313,0.494047816
10,Ceanothus,C,84,1,84,7056,29556.10368,8.861633598,55.27114498,14.34980079,40,40,40,118,118,127,78,78,87,81,3,3,0,2,NA,NA,0,-0.031641827,9,NA,NA,0.047292946,20,16,11,10,9,6,6,6,4,2,2,4,0,0.5,4,4,4,4,4,4,4,16,12,7,6,5,2,2,2,10,10,9,9,8,5,5,5,6,6,5,5,4,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,4,1,1,1,9,6,4,4,3,2,2,2,0.271071285,1.757957322,0.271071285,3.162003217,14.5761346,3.162003217,1.032770353,0.561098152,1.032770353,0.275324137,0.454463565,0.490688012,0.440043194,0.272589204,0.451806548,0.185826166,0.577206126,3.996973207,3.185136349,2.528081767,1.923281,1.683667737,1.630001181,1.569508596,1.356143654,1.016941895,1.016941895,1.011564965,1.011564965,1.011564943,1.010799007,0.881391971,2.964680534,2.168194454,1.511139872,0.911716035,0.672102772,0.618436238,0.558709589,0.474751683,2.840394226,2.345826403,2.039019008,1.847342916,1.642358823,1.594211166,1.535370034,1.325326715,1.808101552,1.328884508,1.022077113,0.835777951,0.630793858,0.582646223,0.524571027,0.443934743,0.385173346,0.29214506,0.204397291,0.048273968,0.028969774,0.027607966,0.027599603,0.027599603,0.868109311,0.868106176,0.84829424,0.761601781,0.581186065,0.54125334,0.483936217,0.416898193
